time	V(bl)	V(blb)	V(q)	V(qb)	V(wl)
0.000000000000000e+00	0.000000e+00	2.500000e+00	2.500000e+00	3.176497e-08	2.500000e+00
1.000000000000000e-10	0.000000e+00	2.500000e+00	2.500000e+00	3.176497e-08	2.500000e+00
1.002620011141083e-10	6.550028e-02	2.434500e+00	2.499793e+00	-7.098503e-04	2.500000e+00
1.007860033423248e-10	1.965008e-01	2.303499e+00	2.500374e+00	1.233724e-03	2.500000e+00
1.018340077987578e-10	4.585019e-01	2.041498e+00	2.505357e+00	1.735307e-02	2.500000e+00
1.039300167116238e-10	9.825042e-01	1.517496e+00	2.525368e+00	7.403640e-02	2.500000e+00
1.058079821742679e-10	1.451995e+00	1.048005e+00	2.550319e+00	1.381772e-01	2.500000e+00
1.062440690747118e-10	1.561017e+00	9.389827e-01	2.554062e+00	1.531114e-01	2.500000e+00
1.071162428755997e-10	1.779061e+00	7.209393e-01	2.552372e+00	1.792316e-01	2.500000e+00
1.082556523982244e-10	2.063913e+00	4.360869e-01	2.535766e+00	2.073272e-01	2.500000e+00
1.100000000000000e-10	2.500000e+00	0.000000e+00	2.490276e+00	2.423074e-01	2.500000e+00
1.101744347601776e-10	2.500000e+00	0.000000e+00	2.481062e+00	2.442053e-01	2.500000e+00
1.105233042805327e-10	2.500000e+00	0.000000e+00	2.462651e+00	2.479362e-01	2.500000e+00
1.112210433212430e-10	2.500000e+00	0.000000e+00	2.425932e+00	2.551085e-01	2.500000e+00
1.126165214026635e-10	2.500000e+00	0.000000e+00	2.352975e+00	2.685031e-01	2.500000e+00
1.154074775655045e-10	2.500000e+00	0.000000e+00	2.210447e+00	2.926918e-01	2.500000e+00
1.209893898911866e-10	2.500000e+00	0.000000e+00	1.937927e+00	3.387673e-01	2.500000e+00
1.288018898911866e-10	2.500000e+00	0.000000e+00	1.575682e+00	4.130826e-01	2.500000e+00
1.366143898911866e-10	2.500000e+00	0.000000e+00	1.235622e+00	5.125302e-01	2.500000e+00
1.444268898911865e-10	2.500000e+00	0.000000e+00	9.299074e-01	6.408188e-01	2.500000e+00
1.522393898911865e-10	2.500000e+00	0.000000e+00	6.704246e-01	7.845187e-01	2.500000e+00
1.600518898911865e-10	2.500000e+00	0.000000e+00	4.603638e-01	9.253690e-01	2.500000e+00
1.678643898911865e-10	2.500000e+00	0.000000e+00	3.006534e-01	1.051717e+00	2.500000e+00
1.756768898911865e-10	2.500000e+00	0.000000e+00	1.902516e-01	1.161355e+00	2.500000e+00
1.834893898911865e-10	2.500000e+00	0.000000e+00	1.210667e-01	1.257116e+00	2.500000e+00
1.913018898911865e-10	2.500000e+00	0.000000e+00	8.058812e-02	1.341630e+00	2.500000e+00
1.991143898911865e-10	2.500000e+00	0.000000e+00	5.740326e-02	1.416704e+00	2.500000e+00
2.069268898911865e-10	2.500000e+00	0.000000e+00	4.389567e-02	1.484516e+00	2.500000e+00
2.147393898911865e-10	2.500000e+00	0.000000e+00	3.572671e-02	1.547666e+00	2.500000e+00
2.225518898911865e-10	2.500000e+00	0.000000e+00	3.047436e-02	1.607984e+00	2.500000e+00
2.303643898911865e-10	2.500000e+00	0.000000e+00	2.671384e-02	1.665883e+00	2.500000e+00
2.381768898911865e-10	2.500000e+00	0.000000e+00	2.369981e-02	1.721155e+00	2.500000e+00
2.459893898911865e-10	2.500000e+00	0.000000e+00	2.112756e-02	1.773692e+00	2.500000e+00
2.538018898911865e-10	2.500000e+00	0.000000e+00	1.887698e-02	1.823487e+00	2.500000e+00
2.616143898911865e-10	2.500000e+00	0.000000e+00	1.689246e-02	1.870568e+00	2.500000e+00
2.694268898911865e-10	2.500000e+00	0.000000e+00	1.514281e-02	1.914992e+00	2.500000e+00
2.772393898911865e-10	2.500000e+00	0.000000e+00	1.360504e-02	1.956841e+00	2.500000e+00
2.850518898911866e-10	2.500000e+00	0.000000e+00	1.225526e-02	1.996229e+00	2.500000e+00
2.928643898911866e-10	2.500000e+00	0.000000e+00	1.106398e-02	2.033314e+00	2.500000e+00
3.006768898911866e-10	2.500000e+00	0.000000e+00	9.999847e-03	2.068281e+00	2.500000e+00
3.084893898911866e-10	2.500000e+00	0.000000e+00	9.043066e-03	2.101275e+00	2.500000e+00
3.163018898911866e-10	2.500000e+00	0.000000e+00	8.191810e-03	2.132345e+00	2.500000e+00
3.241143898911867e-10	2.500000e+00	0.000000e+00	7.448221e-03	2.161459e+00	2.500000e+00
3.319268898911867e-10	2.500000e+00	0.000000e+00	6.802627e-03	2.188596e+00	2.500000e+00
3.397393898911867e-10	2.500000e+00	0.000000e+00	6.235686e-03	2.213784e+00	2.500000e+00
3.475518898911867e-10	2.500000e+00	0.000000e+00	5.728681e-03	2.237098e+00	2.500000e+00
3.553643898911867e-10	2.500000e+00	0.000000e+00	5.268379e-03	2.258637e+00	2.500000e+00
3.631768898911868e-10	2.500000e+00	0.000000e+00	4.846527e-03	2.278510e+00	2.500000e+00
3.709893898911868e-10	2.500000e+00	0.000000e+00	4.458003e-03	2.296827e+00	2.500000e+00
3.788018898911868e-10	2.500000e+00	0.000000e+00	4.099381e-03	2.313694e+00	2.500000e+00
3.866143898911868e-10	2.500000e+00	0.000000e+00	3.768124e-03	2.329215e+00	2.500000e+00
3.944268898911868e-10	2.500000e+00	0.000000e+00	3.462159e-03	2.343488e+00	2.500000e+00
4.022393898911868e-10	2.500000e+00	0.000000e+00	3.179677e-03	2.356606e+00	2.500000e+00
4.100518898911869e-10	2.500000e+00	0.000000e+00	2.919037e-03	2.368656e+00	2.500000e+00
4.178643898911869e-10	2.500000e+00	0.000000e+00	2.678714e-03	2.379720e+00	2.500000e+00
